# Arandkei DV Index, - Historical Performance Log,,
# Copyright (c) 2026, Arandkei., All rights reserved.,
# Benchmark Owner:, Arandkei,,
# Base Date:, September 1 - 2026, Base Value:, 1000.00
# Data Source:, Official, Arandkei DV, Calculation Engine
Date,Index_Level,Daily_Return,Constituents
2026-09-01,974.984,-2.502%,500
2026-09-02,981.520,0.670%,500
2026-09-03,1017.223,3.638%,500
2026-09-04,1025.362,0.800%,500
2026-09-08,1040.368,1.463%,500
2026-09-09,1018.516,-2.100%,500
2026-09-10,997.500,-2.063%,500
2026-09-11,1007.485,1.001%,500
