# Arandkei 500 Index, -, Official Constituent Dataset,,
# Copyright (c), 2026 Arandkei., All rights reserved.,,
# Author:, Arandkei, (Gerardo LunaRodas),,
# Methodology:, https://github.com/lunarodas/arandkei-500/blob/main/METHODOLOGY.md,,,
# License:, MIT License,,,
# Output Weight Scheme:, Equal Weight,,, 0.20%
Ticker,Name,Exchange,Sector,Weight
CAE,CAE Inc.,NASDAQ,Industrials,0.20%
CAI,"Caris Life Sciences, Inc.",NASDAQ,Healthcare,0.20%
CAMT,Camtek Ltd.,NASDAQ,Technology,0.20%
CAPR,"Capricor Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
CBC,"Central Bancompany, Inc.",NASDAQ,Financials,0.20%
CBRS,Cerebras Systems Inc.,NASDAQ,Technology,0.20%
CBZ,"CBIZ, Inc.",NYSE,Industrials,0.20%
CCC,CCC Intelligent Solutions Holdings Inc.,NASDAQ,Technology,0.20%
CCEP,Coca-Cola Europacific Partners PLC,NASDAQ,Consumer Staples,0.20%
CCJ,Cameco Corporation,NYSE,Energy,0.20%
CECO,CECO Environmental Corp.,NASDAQ,Industrials,0.20%
CELC,Celcuity Inc.,NASDAQ,Healthcare,0.20%
CGAU,Centerra Gold Inc.,NYSE,Materials,0.20%
CGON,"CG Oncology, Inc.",NASDAQ,Healthcare,0.20%
CHKP,Check Point Software Technologies Ltd.,NASDAQ,Technology,0.20%
CHYM,"Chime Financial, Inc.",NASDAQ,Technology,0.20%
CIFR,Cipher Digital Inc.,NASDAQ,Financials,0.20%
CIGI,Colliers International Group Inc.,NASDAQ,Real Estate,0.20%
CLBK,"Columbia Financial, Inc.",NASDAQ,Financials,0.20%
CLBT,Cellebrite DI Ltd.,NASDAQ,Technology,0.20%
CLDX,"Celldex Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
CLMT,"Calumet, Inc.",NASDAQ,Materials,0.20%
CLS,Celestica Inc.,NYSE,Technology,0.20%
CM,Canadian Imperial Bank of Commerce,NYSE,Financials,0.20%
CMBT,Cmb.Tech NV,NYSE,Energy,0.20%
CMPS,COMPASS Pathways plc,NASDAQ,Healthcare,0.20%
CNA,CNA Financial Corporation,NYSE,Financials,0.20%
CNI,Canadian National Railway Company,NYSE,Industrials,0.20%
CNQ,Canadian Natural Resources Limited,NYSE,Energy,0.20%
COGT,"Cogent Biosciences, Inc.",NASDAQ,Healthcare,0.20%
COLD,"Americold Realty Trust, Inc.",NYSE,Real Estate,0.20%
COMP,"Compass, Inc.",NYSE,Real Estate,0.20%
CORZ,"Core Scientific, Inc.",NASDAQ,Technology,0.20%
CP,Canadian Pacific Kansas City Limited,NYSE,Industrials,0.20%
CPA,"Copa Holdings, S.A.",NYSE,Industrials,0.20%
CPNG,"Coupang, Inc.",NYSE,Consumer Discretionary,0.20%
CRCL,"Circle Internet Group, Inc.",NYSE,Financials,0.20%
CRDO,Credo Technology Group Holding Ltd,NASDAQ,Technology,0.20%
CRSP,CRISPR Therapeutics AG,NASDAQ,Healthcare,0.20%
CRWV,"CoreWeave, Inc.",NASDAQ,Technology,0.20%
CSTM,Constellium SE,NYSE,Materials,0.20%
CTRI,"Centuri Holdings, Inc.",NYSE,Utilities,0.20%
CVE,Cenovus Energy Inc.,NYSE,Energy,0.20%
DAVE,Dave Inc.,NASDAQ,Technology,0.20%
DB,Deutsche Bank Aktiengesellschaft,NYSE,Financials,0.20%
DBRG,"DigitalBridge Group, Inc.",NYSE,Financials,0.20%
DCO,Ducommun Incorporated,NYSE,Industrials,0.20%
DDS,"Dillard's, Inc.",NYSE,Consumer Discretionary,0.20%
DFTX,"Definium Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
DHT,"DHT Holdings, Inc.",NYSE,Energy,0.20%
DJT,Trump Media & Technology Group Corp.,NASDAQ,Communication Services,0.20%
DK,"Delek US Holdings, Inc.",NYSE,Energy,0.20%
DKNG,DraftKings Inc.,NASDAQ,Consumer Discretionary,0.20%
DLO,DLocal Limited,NASDAQ,Technology,0.20%
DNLI,Denali Therapeutics Inc.,NASDAQ,Healthcare,0.20%
DNN,Denison Mines Corp.,AMERICAN,Energy,0.20%
DNTH,"Dianthus Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
DOO,BRP Inc.,NASDAQ,Consumer Discretionary,0.20%
DOX,Amdocs Limited,NASDAQ,Technology,0.20%
DPC,DPC Holdings PLC,NYSE,Industrials,0.20%
DRS,"Leonardo DRS, Inc.",NASDAQ,Industrials,0.20%
DSGX,The Descartes Systems Group Inc.,NASDAQ,Technology,0.20%
DX,"Dynex Capital, Inc.",NYSE,Real Estate,0.20%
DYN,"Dyne Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
EE,"Excelerate Energy, Inc.",NYSE,Energy,0.20%
EGO,Eldorado Gold Corporation,NYSE,Materials,0.20%
ELPC,Companhia Paranaense de Energia - COPEL,NYSE,Utilities,0.20%
ELVN,"Enliven Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
EMA,Emera Incorporated,NYSE,Utilities,0.20%
ENB,Enbridge Inc.,NYSE,Energy,0.20%
ENLT,Enlight Renewable Energy Ltd,NASDAQ,Utilities,0.20%
EOSE,"Eos Energy Enterprises, Inc.",NASDAQ,Industrials,0.20%
EQPT,EquipmentShare.com Inc.,NASDAQ,Industrials,0.20%
EQX,Equinox Gold Corp.,AMERICAN,Materials,0.20%
ERAS,"Erasca, Inc.",NASDAQ,Healthcare,0.20%
ERO,Ero Copper Corp.,NYSE,Materials,0.20%
ESLT,Elbit Systems Ltd.,NASDAQ,Industrials,0.20%
ESTA,Establishment Labs Holdings Inc.,NASDAQ,Healthcare,0.20%
ESTC,Elastic N.V.,NYSE,Technology,0.20%
ETOR,eToro Group Ltd.,NASDAQ,Financials,0.20%
EWTX,"Edgewise Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
EXK,Endeavour Silver Corp.,NYSE,Materials,0.20%
FCEL,"FuelCell Energy, Inc.",NASDAQ,Industrials,0.20%
FCNCA,"First Citizens BancShares, Inc.",NASDAQ,Financials,0.20%
FER,Ferrovial N.V.,NASDAQ,Industrials,0.20%
FIG,"Figma, Inc.",NYSE,Technology,0.20%
FIGR,"Figure Technology Solutions, Inc.",NASDAQ,Financials,0.20%
FIGS,"FIGS, Inc.",NYSE,Consumer Discretionary,0.20%
FLNC,"Fluence Energy, Inc.",NASDAQ,Utilities,0.20%
FLUT,Flutter Entertainment plc,NYSE,Consumer Discretionary,0.20%
FLY,Firefly Aerospace Inc.,NASDAQ,Industrials,0.20%
FLYW,Flywire Corporation,NASDAQ,Technology,0.20%
FNV,Franco-Nevada Corporation,NYSE,Materials,0.20%
FPS,"Forgent Power Solutions, Inc.",NYSE,Industrials,0.20%
FRHC,Freedom Holding Corp.,NASDAQ,Financials,0.20%
FRMI,Fermi Inc.,NASDAQ,Real Estate,0.20%
FRO,Frontline plc,NYSE,Energy,0.20%
FROG,JFrog Ltd.,NASDAQ,Technology,0.20%
FRSH,Freshworks Inc.,NASDAQ,Technology,0.20%
FRVO,Fervo Energy Company,NASDAQ,Utilities,0.20%
FSLY,"Fastly, Inc.",NASDAQ,Technology,0.20%
FSM,Fortuna Mining Corp.,NYSE,Materials,0.20%
FSV,FirstService Corporation,NASDAQ,Real Estate,0.20%
FTAI,FTAI Aviation Ltd.,NASDAQ,Industrials,0.20%
FTS,Fortis Inc.,NYSE,Utilities,0.20%
FWONA,Formula One Group,NASDAQ,Communication Services,0.20%
GBTG,"Global Business Travel Group, Inc.",NYSE,Consumer Discretionary,0.20%
GENI,Genius Sports Limited,NYSE,Communication Services,0.20%
GFL,GFL Environmental Inc.,NYSE,Industrials,0.20%
GFS,GLOBALFOUNDRIES Inc.,NASDAQ,Technology,0.20%
GH,"Guardant Health, Inc.",NASDAQ,Healthcare,0.20%
GIB,CGI Inc.,NYSE,Technology,0.20%
GIL,Gildan Activewear Inc.,NYSE,Consumer Discretionary,0.20%
GLBE,Global-E Online Ltd.,NASDAQ,Consumer Discretionary,0.20%
GLNG,Golar LNG Limited,NASDAQ,Energy,0.20%
