# Arandkei 500 Index, -, Official Constituent Dataset,,
# Copyright (c), 2026 Arandkei., All rights reserved.,,
# Author:, Arandkei, (Gerardo LunaRodas),,
# Methodology:, https://github.com/lunarodas/arandkei-500/blob/main/METHODOLOGY.md,,,
# License:, MIT License,,,
# Output Weight Scheme:, Equal Weight,,, 0.20%
Ticker,Name,Exchange,Sector,Weight
SBLK,Star Bulk Carriers Corp.,NASDAQ,Industrials,0.20%
SCCO,Southern Copper Corporation,NYSE,Materials,0.20%
SDRL,Seadrill Limited,NYSE,Energy,0.20%
SEB,Seaboard Corporation,AMERICAN,Industrials,0.20%
SFD,"Smithfield Foods, Inc.",NASDAQ,Consumer Staples,0.20%
SGHC,Super Group (SGHC) Limited,NYSE,Consumer Discretionary,0.20%
SGRY,"Surgery Partners, Inc.",NASDAQ,Healthcare,0.20%
SHLS,"Shoals Technologies Group, Inc.",NASDAQ,Technology,0.20%
SHOP,Shopify Inc.,NASDAQ,Technology,0.20%
SII,Sprott Inc.,NYSE,Financials,0.20%
SITE,"SiteOne Landscape Supply, Inc.",NYSE,Industrials,0.20%
SKE,Skeena Resources Limited,NYSE,Materials,0.20%
SKWD,"Skyward Specialty Insurance Group, Inc.",NASDAQ,Financials,0.20%
SLF,Sun Life Financial Inc.,NYSE,Financials,0.20%
SLS,"SELLAS Life Sciences Group, Inc.",NASDAQ,Healthcare,0.20%
SMMT,Summit Therapeutics Inc.,NASDAQ,Healthcare,0.20%
SMR,NuScale Power Corporation,NYSE,Industrials,0.20%
SNAP,Snap Inc.,NYSE,Communication Services,0.20%
SNOW,Snowflake Inc.,NYSE,Technology,0.20%
SOBO,South Bow Corporation,NYSE,Energy,0.20%
SOC,Sable Offshore Corp.,NASDAQ,Energy,0.20%
SOFI,"SoFi Technologies, Inc.",NASDAQ,Financials,0.20%
SOUN,"SoundHound AI, Inc.",NASDAQ,Technology,0.20%
SPB,"Spectrum Brands Holdings, Inc.",NYSE,Consumer Staples,0.20%
SPCX,Space Exploration Technologies Corp.,NASDAQ,Industrials,0.20%
SPOT,Spotify Technology S.A.,NYSE,Communication Services,0.20%
SRAD,Sportradar Group AG,NASDAQ,Technology,0.20%
SRRK,Scholar Rock Holding Corporation,NASDAQ,Healthcare,0.20%
SSNC,"SS&C Technologies Holdings, Inc.",NASDAQ,Technology,0.20%
SSRM,SSR Mining Inc.,NASDAQ,Materials,0.20%
STLA,Stellantis N.V.,NYSE,Consumer Discretionary,0.20%
STN,Stantec Inc.,NYSE,Industrials,0.20%
STNE,StoneCo Ltd.,NASDAQ,Technology,0.20%
STNG,Scorpio Tankers Inc.,NYSE,Energy,0.20%
STOK,"Stoke Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
STUB,"StubHub Holdings, Inc.",NYSE,Consumer Discretionary,0.20%
STVN,Stevanato Group S.p.A.,NYSE,Healthcare,0.20%
SU,Suncor Energy Inc.,NYSE,Energy,0.20%
SUNB,"Sunbelt Rentals Holdings, Inc.",NYSE,Industrials,0.20%
SVM,Silvercorp Metals Inc.,AMERICAN,Materials,0.20%
SYM,Symbotic Inc.,NASDAQ,Industrials,0.20%
SYRE,"Spyre Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
TAC,TransAlta Corporation,NYSE,Utilities,0.20%
TARS,"Tarsus Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
TBBB,BBB Foods Inc.,NYSE,Consumer Staples,0.20%
TD,The Toronto-Dominion Bank,NYSE,Financials,0.20%
TE,T1 Energy Inc.,NYSE,Industrials,0.20%
TEAM,Atlassian Corporation,NASDAQ,Technology,0.20%
TECK,Teck Resources Limited,NYSE,Materials,0.20%
TEM,"Tempus AI, Inc.",NASDAQ,Healthcare,0.20%
TFII,TFI International Inc.,NYSE,Industrials,0.20%
TFPM,Triple Flag Precious Metals Corp.,NYSE,Materials,0.20%
TFSL,TFS Financial Corporation,NASDAQ,Financials,0.20%
TGB,Trekor Metals Limited,AMERICAN,Materials,0.20%
TIGO,Millicom International Cellular S.A.,NASDAQ,Communication Services,0.20%
TMC,TMC the metals company Inc.,NASDAQ,Materials,0.20%
TNET,"TriNet Group, Inc.",NYSE,Industrials,0.20%
TNGX,"Tango Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
TNK,Teekay Tankers Ltd.,NYSE,Energy,0.20%
TOWN,TowneBank,NASDAQ,Financials,0.20%
TPG,TPG Inc.,NASDAQ,Financials,0.20%
TRI,Thomson Reuters Corporation,NASDAQ,Industrials,0.20%
TRP,TC Energy Corporation,NYSE,Energy,0.20%
TRVI,"Trevi Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
TSEM,Tower Semiconductor Ltd.,NASDAQ,Technology,0.20%
TTAN,"ServiceTitan, Inc.",NASDAQ,Technology,0.20%
TU,TELUS Corporation,NYSE,Communication Services,0.20%
TVTX,"Travere Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
TW,Tradeweb Markets Inc.,NASDAQ,Financials,0.20%
TWST,Twist Bioscience Corporation,NASDAQ,Healthcare,0.20%
TXG,"10x Genomics, Inc.",NASDAQ,Healthcare,0.20%
U,Unity Software Inc.,NYSE,Technology,0.20%
UEC,Uranium Energy Corp.,AMERICAN,Energy,0.20%
UHAL,U-Haul Holding Company,NYSE,Industrials,0.20%
UI,Ubiquiti Inc.,NYSE,Technology,0.20%
UMAC,"Unusual Machines, Inc.",AMERICAN,Technology,0.20%
UPST,"Upstart Holdings, Inc.",NASDAQ,Financials,0.20%
USAR,"USA Rare Earth, Inc.",NASDAQ,Materials,0.20%
UTZ,"Utz Brands, Inc.",NYSE,Consumer Staples,0.20%
UUUU,Energy Fuels Inc.,AMERICAN,Energy,0.20%
UWMC,UWM Holdings Corporation,NYSE,Financials,0.20%
VERA,"Vera Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
VERX,"Vertex, Inc.",NASDAQ,Technology,0.20%
VFS,VinFast Auto Ltd.,NASDAQ,Consumer Discretionary,0.20%
VG,"Venture Global, Inc.",NYSE,Energy,0.20%
VIK,Viking Holdings Ltd,NYSE,Consumer Discretionary,0.20%
VISN,"Vistance Networks, Inc.",NASDAQ,Technology,0.20%
VKTX,"Viking Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
VOYG,"Voyager Technologies, Inc.",NYSE,Industrials,0.20%
VRDN,"Viridian Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
VRNS,"Varonis Systems, Inc.",NASDAQ,Technology,0.20%
W,Wayfair Inc.,NYSE,Consumer Discretionary,0.20%
WCN,"Waste Connections, Inc.",NYSE,Industrials,0.20%
WFG,West Fraser Timber Co. Ltd.,NYSE,Materials,0.20%
WGS,GeneDx Holdings Corp.,NASDAQ,Healthcare,0.20%
WIX,Wix.com Ltd.,NASDAQ,Technology,0.20%
WK,Workiva Inc.,NYSE,Technology,0.20%
WOLF,"Wolfspeed, Inc.",NYSE,Technology,0.20%
WPM,Wheaton Precious Metals Corp.,NYSE,Materials,0.20%
WSE,Wise Group plc,NASDAQ,Technology,0.20%
WTM,"White Mountains Insurance Group, Ltd.",NYSE,Financials,0.20%
WTTR,"Select Water Solutions, Inc.",NYSE,Energy,0.20%
WULF,TeraWulf Inc.,NASDAQ,Financials,0.20%
XE,"X-Energy, Inc.",NASDAQ,Industrials,0.20%
XENE,Xenon Pharmaceuticals Inc.,NASDAQ,Healthcare,0.20%
XMTR,"Xometry, Inc.",NASDAQ,Industrials,0.20%
XP,XP Inc.,NASDAQ,Financials,0.20%
YUMC,"Yum China Holdings, Inc.",NYSE,Consumer Discretionary,0.20%
Z,"Zillow Group, Inc.",NASDAQ,Communication Services,0.20%
ZETA,Zeta Global Holdings Corp.,NYSE,Technology,0.20%
ZIM,ZIM Integrated Shipping Services Ltd.,NYSE,Industrials,0.20%
ZM,"Zoom Communications, Inc.",NASDAQ,Technology,0.20%
ZS,"Zscaler, Inc.",NASDAQ,Technology,0.20%
